date,nifty_price_close
2024-04-24,73852.9375
2024-04-25,74339.4375
2024-04-26,73730.15625
2024-04-29,74671.28125
2024-04-30,74482.78125
2024-05-02,74611.109375
2024-05-03,73878.1484375
2024-05-06,73895.5390625
2024-05-07,73511.8515625
2024-05-08,73466.390625
2024-05-09,72404.171875
2024-05-10,72664.46875
2024-05-13,72776.1328125
2024-05-14,73104.609375
2024-05-15,72987.03125
2024-05-16,73663.71875
2024-05-17,73917.03125
2024-05-21,73953.3125
2024-05-22,74221.0625
2024-05-23,75418.0390625
2024-05-24,75410.390625
2024-05-27,75390.5
2024-05-28,75170.453125
2024-05-29,74502.8984375
2024-05-30,73885.6015625
2024-05-31,73961.3125
2024-06-03,76468.78125
2024-06-04,72079.046875
2024-06-05,74382.2421875
2024-06-06,75074.5078125
2024-06-07,76693.359375
2024-06-10,76490.078125
2024-06-11,76456.59375
2024-06-12,76606.5703125
2024-06-13,76810.8984375
2024-06-14,76992.7734375
2024-06-18,77301.140625
2024-06-19,77337.59375
2024-06-20,77478.9296875
2024-06-21,77209.8984375
2024-06-24,77341.078125
2024-06-25,78053.5234375
2024-06-26,78674.25
2024-06-27,79243.1796875
2024-06-28,79032.7265625
2024-07-01,79476.1875
2024-07-02,79441.453125
2024-07-03,79986.796875
2024-07-04,80049.671875
2024-07-05,79996.6015625
2024-07-08,79960.3828125
2024-07-09,80351.640625
2024-07-10,79924.7734375
2024-07-11,79897.34375
2024-07-12,80519.34375
2024-07-15,80664.859375
2024-07-16,80716.546875
2024-07-18,81343.4609375
2024-07-19,80604.6484375
2024-07-22,80502.078125
2024-07-23,80429.0390625
2024-07-24,80148.8828125
2024-07-25,80039.796875
2024-07-26,81332.71875
2024-07-29,81355.84375
2024-07-30,81455.3984375
2024-07-31,81741.34375
2024-08-01,81867.546875
2024-08-02,80981.953125
2024-08-05,78759.3984375
2024-08-06,78593.0703125
2024-08-07,79468.0078125
2024-08-08,78886.21875
2024-08-09,79705.90625
2024-08-12,79648.921875
2024-08-13,78956.03125
2024-08-14,79105.8828125
2024-08-16,80436.84375
2024-08-19,80424.6796875
2024-08-20,80802.859375
2024-08-21,80905.296875
2024-08-22,81053.1875
2024-08-23,81086.2109375
2024-08-26,81698.109375
2024-08-27,81711.7578125
2024-08-28,81785.5625
2024-08-29,82134.609375
2024-08-30,82365.7734375
2024-09-02,82559.84375
2024-09-03,82555.4375
2024-09-04,82352.640625
2024-09-05,82201.15625
2024-09-06,81183.9296875
2024-09-09,81559.5390625
2024-09-10,81921.2890625
2024-09-11,81523.15625
2024-09-12,82962.7109375
2024-09-13,82890.9375
2024-09-16,82988.78125
2024-09-17,83079.65625
2024-09-18,82948.2265625
2024-09-19,83184.796875
2024-09-20,84544.3125
2024-09-23,84928.609375
2024-09-24,84914.0390625
2024-09-25,85169.8671875
2024-09-26,85836.1171875
2024-09-27,85571.8515625
2024-09-30,84299.78125
2024-10-01,84266.2890625
2024-10-03,82497.1015625
2024-10-04,81688.453125
2024-10-07,81050.0
2024-10-08,81634.8125
2024-10-09,81467.1015625
2024-10-10,81611.40625
2024-10-11,81381.359375
2024-10-14,81973.046875
2024-10-15,81820.1171875
2024-10-16,81501.359375
2024-10-17,81006.609375
2024-10-18,81224.75
2024-10-21,81151.2734375
2024-10-22,80220.71875
2024-10-23,80081.9765625
2024-10-24,80065.15625
2024-10-25,79402.2890625
2024-10-28,80005.0390625
2024-10-29,80369.03125
2024-10-30,79942.1796875
2024-10-31,79389.0625
2024-11-01,79724.1171875
2024-11-04,78782.2421875
2024-11-05,79476.6328125
2024-11-06,80378.1328125
2024-11-07,79541.7890625
2024-11-08,79486.3203125
2024-11-11,79496.1484375
2024-11-12,78675.1796875
2024-11-13,77690.953125
2024-11-14,77580.3125
