date,nifty_price_close
2024-04-24,48189.0
2024-04-25,48494.94921875
2024-04-26,48201.05078125
2024-04-29,49424.05078125
2024-04-30,49396.75
2024-05-02,49231.05078125
2024-05-03,48923.55078125
2024-05-06,48895.30078125
2024-05-07,48285.3515625
2024-05-08,48021.1015625
2024-05-09,47487.8984375
2024-05-10,47421.1015625
2024-05-13,47754.1015625
2024-05-14,47859.44921875
2024-05-15,47687.44921875
2024-05-16,47977.05078125
2024-05-17,48115.6484375
2024-05-21,48048.19921875
2024-05-22,47781.94921875
2024-05-23,48768.6015625
2024-05-24,48971.6484375
2024-05-27,49281.80078125
2024-05-28,49142.1484375
2024-05-29,48501.3515625
2024-05-30,48682.3515625
2024-05-31,48983.94921875
2024-06-03,50979.94921875
2024-06-04,46928.6015625
2024-06-05,49054.6015625
2024-06-06,49291.8984375
2024-06-07,49803.19921875
2024-06-10,49780.8984375
2024-06-11,49705.75
2024-06-12,49895.1015625
2024-06-13,49846.69921875
2024-06-14,50002.0
2024-06-18,50440.8984375
2024-06-19,51398.05078125
2024-06-20,51783.25
2024-06-21,51661.44921875
2024-06-24,51703.94921875
2024-06-25,52606.0
2024-06-26,52870.5
2024-06-27,52811.30078125
2024-06-28,52342.25
2024-07-01,52574.75
2024-07-02,52168.1015625
2024-07-03,53089.25
2024-07-04,53103.69921875
2024-07-05,52660.3515625
2024-07-08,52425.80078125
2024-07-09,52568.80078125
2024-07-10,52189.30078125
2024-07-11,52270.6484375
2024-07-12,52278.8984375
2024-07-15,52455.8984375
2024-07-16,52396.80078125
2024-07-18,52620.69921875
2024-07-19,52265.6015625
2024-07-22,52280.3984375
2024-07-23,51778.30078125
2024-07-24,51317.0
2024-07-25,50888.75
2024-07-26,51295.94921875
2024-07-29,51406.25
2024-07-30,51499.30078125
2024-07-31,51553.3984375
2024-08-01,51564.0
2024-08-02,51350.1484375
2024-08-05,50092.1015625
2024-08-06,49748.30078125
2024-08-07,50119.0
2024-08-08,50156.69921875
2024-08-09,50484.5
2024-08-12,50577.94921875
2024-08-13,49831.8515625
2024-08-14,49727.30078125
2024-08-16,50516.8984375
2024-08-19,50368.3515625
2024-08-20,50803.1484375
2024-08-21,50685.55078125
2024-08-22,50985.69921875
2024-08-23,50933.44921875
2024-08-26,51148.1015625
2024-08-27,51278.75
2024-08-28,51143.8515625
2024-08-29,51152.75
2024-08-30,51351.0
2024-09-02,51439.55078125
2024-09-03,51689.1015625
2024-09-04,51400.25
2024-09-05,51473.05078125
2024-09-06,50576.8515625
2024-09-09,51117.80078125
2024-09-10,51272.30078125
2024-09-11,51010.0
2024-09-12,51772.3984375
2024-09-13,51938.05078125
2024-09-16,52153.1484375
